Zeitstempel,x-accelerometer,y-accelerometer,z-accelerometer,x-gyroskop,y-gyroskop,z-gyroskop,State
59032.0,0.02,0.01,0.53,-0.0,0.0,0.0,1
59060.0,0.02,0.01,0.53,-0.0,0.0,-0.0,1
59087.0,0.02,0.01,0.53,-0.0,-0.0,-0.0,1
59115.0,0.02,0.01,0.53,-0.0,-0.0,0.0,1
59142.0,0.02,0.01,0.53,-0.0,-0.0,-0.0,1
59169.0,0.02,0.01,0.53,-0.0,0.0,-0.0,1
59197.0,0.02,0.01,0.53,-0.0,0.0,0.0,1
59225.0,0.02,0.01,0.53,-0.0,0.0,0.0,1
59252.0,0.02,0.01,0.53,-0.0,0.0,-0.0,1
59279.0,0.02,0.01,0.53,-0.0,0.0,-0.0,1
59307.0,0.02,0.01,0.53,-0.0,-0.0,0.0,1
59334.0,0.02,0.01,0.53,-0.0,0.0,0.0,1
59363.0,0.02,0.01,0.53,-0.0,0.0,-0.0,1
59390.0,0.01,0.01,0.53,-0.0,-0.0,0.0,1
59418.0,0.02,0.01,0.53,-0.0,-0.0,0.0,1
59446.0,0.01,0.01,0.53,-0.0,0.0,0.0,1
59473.0,0.02,0.01,0.53,-0.0,0.0,0.0,1
59501.0,0.02,0.01,0.53,-0.0,-0.0,-0.0,1
59528.0,0.02,0.01,0.53,-0.0,-0.0,0.0,1
59555.0,0.02,0.01,0.53,-0.0,-0.0,-0.0,1
59583.0,0.02,0.01,0.53,-0.0,-0.0,0.0,1
59611.0,0.02,0.01,0.53,-0.0,-0.0,0.0,1
59638.0,0.02,0.01,0.53,-0.0,0.0,0.0,1
59666.0,0.02,0.01,0.53,-0.0,0.0,0.0,1
59693.0,0.02,0.01,0.53,-0.0,-0.0,-0.0,1
59721.0,0.02,0.01,0.53,-0.0,0.0,0.0,1
59749.0,0.02,0.01,0.53,-0.0,-0.0,0.0,1
59777.0,0.02,0.01,0.53,-0.0,-0.0,0.0,1
59803.0,0.02,0.01,0.53,-0.0,0.0,0.0,1
59831.0,0.02,0.01,0.53,-0.0,-0.0,0.0,1
59858.0,0.02,0.01,0.53,-0.0,0.0,0.0,1
59886.0,0.02,0.01,0.53,-0.0,-0.0,0.0,1
59914.0,0.02,0.01,0.53,-0.0,-0.0,-0.0,1
59941.0,0.02,0.01,0.53,-0.0,0.0,-0.0,1
59969.0,0.02,0.01,0.53,-0.0,0.0,-0.0,1
59997.0,0.02,0.01,0.53,-0.0,-0.0,-0.0,1
60024.0,0.02,0.01,0.53,-0.0,0.0,0.0,1
60052.0,0.02,0.01,0.53,-0.0,0.0,0.0,1
60081.0,0.02,0.01,0.53,-0.0,-0.0,-0.0,1
